Category,Pattern,Keywords,Description,Do,Don't,CSS_Example,Library,Severity,Platform
Micro-interaction,Button Press Feedback,button press click tap feedback,Provide immediate visual feedback when buttons are pressed,Scale down slightly on active state + color shift,No visual change on button press,.btn:active { transform: scale(0.97); },None (CSS only),High,All
Micro-interaction,Hover State Transition,hover transition color opacity,Smooth color/opacity transitions on hover for interactive elements,Use transition-colors duration-200 ease,Instant color changes without transition,.card:hover { opacity: 0.9; transition: all 200ms; },None (CSS only),Medium,Web
Micro-interaction,Toggle Switch Animation,toggle switch on off animate,Animate toggle switches between states with smooth sliding,Smooth slide with spring-like easing + color change,Instant state change without animation,.toggle-knob { transition: transform 300ms cubic-bezier(0.4 0 0.2 1); },Framer Motion,Medium,All
Micro-interaction,Input Focus Glow,input focus ring glow border,Highlight input fields on focus with glowing border effect,Use box-shadow with primary color at low opacity,Only change border-color without glow,.input:focus { box-shadow: 0 0 0 3px rgba(37 99 235 / 0.2); },None (CSS only),High,Web
Micro-interaction,Ripple Effect,ripple click material touch,Material-style ripple effect on touch/click targets,Use CSS pseudo-element or library for ripple spreading outward,Heavy JS-based ripple that blocks main thread,.btn::after { content:''; position:absolute; background:rgba(255 255 255 / 0.3); },Material UI,Low,Web Mobile
Loading,Skeleton Loader,skeleton loading placeholder shimmer pulse,Show content-shaped placeholders while data loads,Match exact layout shape of loaded content + pulse animation,Generic spinner for content-heavy pages,.skeleton { animation: pulse 2s infinite; background: linear-gradient(90deg #f0f0f0 #e0e0e0 #f0f0f0); },None (CSS only),High,All
Loading,Progress Bar,progress loading bar determinate,Show determinate progress for known-length operations,Use thin bar at top of page + percentage indication,Indeterminate spinner for operations with known progress,.progress-bar { transition: width 300ms ease; },NProgress,Medium,Web
Loading,Spinner,spinner loading rotate indefinite,Rotating indicator for short indeterminate waits (<3s),Use lightweight CSS spinner with consistent sizing,Complex lottie animation for simple loading,.spinner { animation: spin 1s linear infinite; border: 3px solid; border-top-color: transparent; },None (CSS only),Medium,All
Loading,Content Fade-in,fade in stagger content appear,Fade content in after loading completes,Stagger children with increasing delay for natural feel,All content appearing at once without transition,.item { animation: fadeIn 300ms ease forwards; animation-delay: calc(var(--i) * 50ms); },Framer Motion,Low,All
Loading,Pull to Refresh,pull refresh mobile gesture,Pull-down gesture to refresh content on mobile,Show progress indicator during pull + snap-back animation,Refresh without visual feedback,Container with overscroll-behavior and custom indicator,React Native RefreshControl,Medium,Mobile
Transition,Page Transition,page transition route navigate,Animate between page/route changes,Use shared element transitions where possible + 200-400ms duration,No transition between pages or >500ms transitions,View Transitions API: document.startViewTransition(),Framer Motion / View Transitions API,Medium,Web
Transition,Modal Enter/Exit,modal dialog enter exit appear,Animate modal appearance and dismissal,Fade overlay + scale-up content from center,Instant appear/disappear of modals,.modal { animation: scaleIn 200ms ease; } @keyframes scaleIn { from { transform: scale(0.95); opacity: 0; } },Radix UI / Headless UI,Medium,Web
Transition,Slide Panel,slide panel drawer sidebar,Slide-in panels from edge of screen,Translate from off-screen edge + fade backdrop,Jump-cut appearance of side panels,.panel { transform: translateX(-100%); transition: transform 300ms ease; },None (CSS only),Medium,All
Transition,Accordion Expand,accordion expand collapse height,Smooth height animation for expandable content,Use grid-template-rows: 0fr → 1fr for smooth height or max-height transition,display:none toggling without transition,.accordion-body { display: grid; grid-template-rows: 0fr; transition: grid-template-rows 300ms; },None (CSS only),Medium,Web
Transition,Toast Notification,toast notification snackbar appear disappear,Animate toast entry/exit from edge of screen,Slide in from edge + auto-dismiss with progress bar,Toasts that appear without animation or block interaction,.toast { animation: slideInRight 300ms ease translateX(100%) to translateX(0); },Sonner / React Hot Toast,Low,Web
Scroll,Scroll-triggered Reveal,scroll reveal intersection observer animate,Reveal elements as they enter the viewport,Use IntersectionObserver + CSS animation classes,Heavy scroll event listeners for animations,IntersectionObserver with threshold 0.1 + .reveal { opacity:0; transform:translateY(20px); },None (vanilla JS),Medium,Web
Scroll,Parallax Effect,parallax scroll depth layer,Create depth illusion with different scroll speeds,Use transform: translateZ() with perspective or scroll-timeline,JavaScript-based parallax that causes jank,.parallax { transform: translateZ(-1px) scale(2); },None (CSS only),Low,Web
Scroll,Sticky Header Shrink,sticky header shrink scroll compact,Shrink header height on scroll for more content space,Smooth height transition + reduce padding on scroll,Instant height change or content jump,.header.scrolled { height: 48px; padding: 8px 16px; transition: all 200ms; },None (CSS/JS),Medium,Web
Scroll,Progress Indicator,scroll progress reading indicator,Show reading/scroll progress at top of page,Thin bar at top that fills based on scroll position,Chunky progress bar that takes too much space,.progress { width: calc(var(--scroll) * 100%); height: 3px; },None (CSS/JS),Low,Web
Scroll,Infinite Scroll Loading,infinite scroll lazy load paginate,Load more content as user scrolls to bottom,Show loading indicator at bottom + intersection observer trigger,Load all data at once or no loading indicator,IntersectionObserver on sentinel element at bottom,React Virtuoso / TanStack Virtual,Medium,Web Mobile
Feedback,Success Animation,success check complete done,Animate success state after action completion,Checkmark drawing animation + green color flash,Plain text "Success" without visual confirmation,.check { stroke-dasharray: 50; stroke-dashoffset: 50; animation: draw 500ms forwards; },Lottie,Medium,All
Feedback,Error Shake,error shake invalid wrong,Shake element to indicate error/invalid input,Subtle horizontal shake (3-5px range) + red border,Aggressive shaking or only color change,.error { animation: shake 300ms; } @keyframes shake { 25% { transform:translateX(-5px); } 75% { transform:translateX(5px); } },None (CSS only),Medium,All
Feedback,Copy to Clipboard,copy clipboard tooltip confirm,Confirm successful copy action with brief animation,Tooltip saying "Copied!" + icon change for 2s,No feedback after copy action,.copied::after { content:'Copied!'; animation: fadeInOut 2s; },None (CSS/JS),Low,Web
Attention,Pulse Glow,pulse glow attention notification badge,Draw attention to important elements or notifications,Gentle pulse with low opacity glow on badges/alerts,Constant aggressive pulsing that causes distraction,.badge { animation: pulse 2s infinite; } @keyframes pulse { 50% { box-shadow: 0 0 12px rgba(239 68 68 / 0.4); } },None (CSS only),Low,All
Attention,Bounce Entry,bounce enter attention cta,Bounce animation to draw attention to CTA buttons,Single bounce on load + stop (not continuous),Continuous bouncing that is distracting,.cta { animation: bounce 600ms ease 1; } @keyframes bounce { 50% { transform:translateY(-10px); } },None (CSS only),Low,Web
Performance,Reduced Motion,reduced motion prefers accessibility a11y,Respect user motion preferences,Use prefers-reduced-motion media query to disable animations,Ignoring user motion preferences,@media (prefers-reduced-motion: reduce) { * { animation-duration: 0.01ms !important; } },None (CSS only),High,All
Performance,GPU Acceleration,gpu accelerate transform will-change,Use GPU-accelerated properties for smooth animations,Animate transform and opacity only. Use will-change sparingly,Animating width height top left margin,.animated { will-change: transform; transform: translateZ(0); },None (CSS only),High,All
Performance,Animation Duration,duration timing speed feedback,Use appropriate animation durations for different contexts,100-200ms for micro-interactions Á 300-500ms for emphasis,Animations longer than 500ms for UI feedback or <100ms (imperceptible),.fast { transition: 150ms; } .emphasis { transition: 400ms; },None (CSS only),Medium,All
Performance,RequestAnimationFrame,raf frame animation javascript smooth,Use requestAnimationFrame for JS animations,rAF for smooth 60fps JS animations,setInterval or setTimeout for animations,requestAnimationFrame(animate),setInterval(animate 16),High,Web
State,Loading to Content,state loading content transition swap,Animate transition from loading to content state,Cross-fade skeleton to real content + maintain layout dimensions,Content popping in with layout shift,.content { animation: fadeIn 200ms ease; } .skeleton { animation: fadeOut 200ms ease; },None (CSS only),Medium,All
