Category,Pattern,Keywords,Description,Do,Don't,Code_Good,Code_Bad,Severity,Breakpoints
Breakpoints,Mobile-First Strategy,mobile first breakpoint min-width progressive,Start with mobile styles and progressively enhance for larger screens,Use min-width media queries ascending,Use max-width queries (desktop-first),"@media (min-width: 768px) { }","@media (max-width: 767px) { }",High,"320 375 390 414"
Breakpoints,Standard Breakpoints,breakpoint standard width responsive,Use standard breakpoint values aligned with common devices,sm:640px md:768px lg:1024px xl:1280px 2xl:1536px,Arbitrary breakpoints like 847px or 1137px,"@media (min-width: 768px) { }","@media (min-width: 847px) { }",Medium,"640 768 1024 1280 1536"
Breakpoints,Content-Based Breakpoints,content breakpoint natural flow,Set breakpoints where content naturally breaks rather than device widths,Break where content looks bad not at device widths,Only use device-specific widths,"@media (min-width: 45em) { /* content breaks here */ }","@media (min-width: 768px) { /* iPad width */ }",Medium,"varies"
Container,Container Queries,container query component responsive cqw,Use container queries for component-level responsiveness,@container for components that live in different contexts,Media queries for component-internal layout,"@container (min-width: 400px) { .card { flex-direction: row; } }","@media (min-width: 768px) { .card { flex-direction: row; } }",High,"per container"
Container,Container Query Units,cqw cqi container units size,Use container query units for fluid sizing within containers,cqw cqh cqi cqb for container-relative sizing,Fixed px values inside responsive containers,"font-size: clamp(1rem 3cqw 2rem);","font-size: 16px;",Medium,"per container"
Typography,Fluid Typography,fluid typography clamp viewport responsive,Use clamp() for font sizes that scale smoothly between breakpoints,clamp(min preferred max) for all text sizes,Fixed font sizes with media query jumps,"font-size: clamp(1rem 2.5vw 2rem);","font-size: 16px; @media (min-width:768px) { font-size: 24px; }",High,"all"
Typography,Viewport Units for Headings,viewport vw heading hero responsive scale,Use viewport units (with clamp) for large headings that scale,Combine vw with clamp for bounded scaling,Raw vw without min/max bounds,"font-size: clamp(2rem 5vw 4rem);","font-size: 5vw;",Medium,"all"
Typography,Line Length Control,line length measure reading characters,Limit line length to 45-75 characters for readability,max-width on text containers (65ch ideal),Full-width text on large screens,"max-width: 65ch;","width: 100%; /* on large screens */",High,"1024+"
Spacing,Fluid Spacing,fluid spacing clamp gap margin padding,Use fluid spacing that scales between breakpoints,clamp() for padding/margins/gaps,Fixed spacing jumps at breakpoints,"padding: clamp(1rem 3vw 3rem);","padding: 16px; @media (min-width:768px) { padding: 48px; }",Medium,"all"
Spacing,Spacing Scale,spacing scale consistent rhythm,Use consistent spacing scale (4px/8px base) across breakpoints,Maintain proportional spacing ratios at all sizes,Random spacing values per breakpoint,"gap: clamp(0.5rem 2vw 2rem);","gap: 8px; @media { gap: 32px; }",Medium,"all"
Layout,Grid Auto-Fit,grid auto-fit responsive column,Use CSS Grid auto-fit/auto-fill for automatic responsive columns,auto-fit with minmax for self-adapting grids,Fixed column counts changed at every breakpoint,"grid-template-columns: repeat(auto-fit minmax(280px 1fr));","grid-cols-1 md:grid-cols-2 lg:grid-cols-3 xl:grid-cols-4",Medium,"all"
Layout,Flexbox Wrap,flexbox wrap responsive flow,Use flex-wrap for natural content flow at any width,flex-wrap: wrap with min-width on children,Separate layouts per breakpoint for flow content,"display: flex; flex-wrap: wrap; > * { min-width: 250px; flex: 1; }","grid-cols-1 md:grid-cols-2 lg:grid-cols-3",Low,"all"
