No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Security,Configure Permissions,Define minimal permissions in Tauri configuration,List only required permissions in capabilities,Allow all permissions by default,"\"permissions\": [\"fs:read-files\" \"dialog:open\"]","\"permissions\": [\"fs:default\" \"shell:default\"] /* too broad */",High,https://v2.tauri.app/security/permissions/
2,Security,Use Allowlist Pattern,Restrict API access to specific paths and commands,Scope file access to specific directories only,Unrestricted file system access,"\"scope\": { \"allow\": [\"$APPDATA/**\"] \"deny\": [\"$HOME/.ssh/**\"] }","\"scope\": { \"allow\": [\"**\"] } /* everything */",High,
3,Security,Validate Frontend Input,Validate all data from frontend in Rust commands,Type-safe parameters with serde deserialization,Trusting frontend input in Rust backend,"#[tauri::command] fn save(data: ValidatedData) -> Result<()>","#[tauri::command] fn save(path: String) { std::fs::write(path ...) } /* unsafe */",High,
4,Commands,Use Tauri Commands,Define Rust functions callable from frontend,#[tauri::command] for backend operations,JavaScript-only data processing,"#[tauri::command] async fn fetch_data(id: u32) -> Result<Data String>","/* All processing in JavaScript */",Medium,https://v2.tauri.app/develop/calling-rust/
5,Commands,Return Result Types,Use Result for error handling in commands,Result<T String> for fallible operations,Panicking or unwrapping in commands,"#[tauri::command] fn read_config() -> Result<Config String> { Ok(config) }","#[tauri::command] fn read_config() -> Config { config.unwrap() } /* panics */",High,
6,Commands,Use Async Commands,Make I/O commands async to avoid blocking,async fn for file network and database operations,Blocking the main thread with sync I/O,"#[tauri::command] async fn download(url: String) -> Result<Vec<u8> String>","#[tauri::command] fn download(url: String) -> Vec<u8> { blocking_get(url) }",Medium,
7,State,Use Managed State,Share application state across commands,app.manage(AppState) for dependency injection,Global static variables for shared state,"app.manage(Mutex::new(AppState::default())); #[tauri::command] fn get(state: State<Mutex<AppState>>)","static mut STATE: Option<AppState> = None; /* unsafe global */",Medium,https://v2.tauri.app/develop/state-management/
8,State,Frontend State Management,Use frontend framework state for UI state,React/Vue/Svelte state for UI. Rust for business logic,Rust commands for simple toggle/display state,"const [isOpen setIsOpen] = useState(false) /* UI state in React */","invoke('toggle_sidebar') /* server roundtrip for UI toggle */",Medium,
9,IPC,Use invoke() for Commands,Call Rust commands from frontend JavaScript,invoke('command_name' { args }) for backend calls,Manual WebSocket or HTTP for IPC,"const data = await invoke('get_users' { limit: 10 })","fetch('http://localhost:8080/api/users') /* unnecessary server */",Medium,https://v2.tauri.app/develop/calling-rust/
10,IPC,Use Events for Push,Emit events from Rust to frontend,app.emit() for server-initiated updates,Polling from frontend for state changes,"app.emit('progress' ProgressPayload { percent: 50 })","/* Frontend polling invoke('get_progress') every 100ms */",Medium,https://v2.tauri.app/develop/inter-process-communication/
11,IPC,Type Event Payloads,Use serde Serialize/Deserialize for event data,Typed structs for all IPC payloads,Untyped JSON strings,"#[derive(Serialize)] struct Progress { percent: u32 message: String }","emit('progress' serde_json::json!({\"p\": 50})) /* untyped */",Medium,
12,Window,Configure Window Properly,Set window properties in tauri.conf.json,Transparent titlebar decorations and size constraints,Default window without customization,"\"windows\": [{ \"title\": \"App\" \"width\": 1200 \"height\": 800 \"minWidth\": 800 }]","\"windows\": [{}] /* no configuration */",Medium,https://v2.tauri.app/reference/config/#windowconfig
13,Window,Custom Titlebar,Implement custom titlebar with window controls,data-tauri-drag-region for draggable areas + window API for controls,System titlebar when custom design is needed,"<div data-tauri-drag-region class='titlebar'><button onclick='appWindow.minimize()'>","/* CSS-only titlebar without drag region */",Low,
14,Window,Multi-Window Support,Create additional windows programmatically,WebviewWindowBuilder for dynamic windows,Hardcoded single window architecture,"WebviewWindowBuilder::new(app 'settings' 'settings.html').build()","/* All UI crammed into single window */",Low,
15,Plugins,Use Official Plugins,Tauri plugins for common functionality,@tauri-apps/plugin-* for fs dialog store http,Reimplementing standard desktop features,"import { open } from '@tauri-apps/plugin-dialog'","/* Custom file picker in JavaScript */",Medium,https://v2.tauri.app/plugin/
16,Plugins,Use Plugin Store,Persist user settings with store plugin,@tauri-apps/plugin-store for key-value persistence,localStorage for persistent app settings,"import { Store } from '@tauri-apps/plugin-store'; const store = new Store('settings.json')","localStorage.setItem('theme' 'dark') /* web pattern */",Medium,https://v2.tauri.app/plugin/store/
17,Build,Configure Bundler,Set up bundler for target platforms,Bundle identifier icons and metadata in tauri.conf.json,Default bundle configuration for distribution,"\"identifier\": \"com.myapp.desktop\" \"icon\": [\"icons/icon.png\"]","\"identifier\": \"com.tauri.dev\" /* default identifier */",High,https://v2.tauri.app/distribute/
18,Build,Platform Targets,Build for all target platforms,CI/CD for cross-platform builds (macOS Windows Linux),Manual builds on single platform,"tauri build --target x86_64-pc-windows-msvc /* in CI */","/* Only build and test on development machine */",Medium,
19,Build,Code Signing,Sign applications for distribution,Apple notarization + Windows Authenticode signing,Unsigned distribution causing security warnings,"APPLE_SIGNING_IDENTITY=... tauri build /* macOS signing */","tauri build /* unsigned - Gatekeeper blocks */",High,
