ID,Law_Name,Law_Category,Definition,Product_Type,Application,Design_Test_ID,Pass_Criteria,Anti_Pattern,Severity,Metric,Expected_Impact,Source
UXL-001,Hick's Law,Decision Making,"The time to make a decision increases with the number and complexity of choices.",Landing Page,Giảm CTA còn 1-2 trên hero section. Menu đơn giản hoặc hidden navigation. Loại bỏ sidebar distractions.,DT-LP-001,CTA count above-fold <= 2,>= 3 CTA cạnh tranh nhau trong hero section,Critical,Conversion Rate,Tăng conversion 20-30%,lawsofux.com
UXL-002,Fitts's Law,Motor/Interaction,"The time to acquire a target is a function of the distance to and size of the target.",Landing Page,"CTA button lớn (min 48px height), contrast ratio >= 4.5:1, đặt trong thumb zone trên mobile. Padding đủ rộng cho touch target.",DT-LP-002,"CTA height >= 48px AND touch target >= 44x44px AND contrast ratio >= 4.5:1",CTA nhỏ < 36px hoặc đặt xa tầm thumb reach trên mobile,Critical,Bounce Rate,Giảm bounce rate 15-25%,lawsofux.com
UXL-003,Pareto Principle,Decision Making,"80% of effects come from 20% of causes.",Landing Page,"Tập trung 20% nội dung quan trọng nhất above-fold: value proposition + primary CTA. Phần còn lại supporting content below-fold.",DT-LP-003,"Above-fold chứa: 1 headline (value prop) + 1 primary CTA + 1 supporting visual",Above-fold chứa quá nhiều info hoặc thiếu CTA,High,First Impression Score,First impression mạnh hơn 40%,lawsofux.com
UXL-004,Jakob's Law,Mental Model,"Users prefer your site to work the same way as all the other sites they already know.",Landing Page,"Logo top-left (clickable → homepage), navigation top-right, CTA button nổi bật nhất ở góc phải. Footer chứa links chuẩn.",DT-LP-004,"Logo position = top-left AND nav position = top/top-right AND footer contains standard links",Layout phi truyền thống gây confused navigation,High,Task Completion Rate,Tăng familiarity và giảm learning curve 50%,lawsofux.com
UXL-005,Goal-Gradient Effect,Motivation,"The tendency to approach a goal increases with proximity to the goal.",Landing Page,"Thêm progress bar cho form multi-step (3+ fields). Hiển thị step X/Y. Micro-celebration khi complete mỗi step.",DT-LP-005,"Form > 3 fields có progress indicator hiển thị rõ current step / total steps",Form dài không có progress indicator,Medium,Form Completion Rate,Tăng form completion 20-35%,lawsofux.com
UXL-006,Miller's Law,Cognitive Load,"The average person can keep 7 (±2) items in working memory.",Website/Web App,"Chunking navigation menu: tối đa 7±2 items ở top-level. Dùng dropdown/mega menu cho sub-items. Group related actions.",DT-WA-001,"Top-level nav items <= 9 AND sử dụng grouping nếu > 7 items",Menu > 9 items không có grouping hoặc hierarchy,Critical,Navigation Efficiency,Giảm cognitive load 30-40%,lawsofux.com
UXL-007,Law of Proximity,Gestalt,"Objects that are near or proximate to each other tend to be grouped together.",Website/Web App,"Spacing giữa related elements < spacing giữa unrelated elements. Dùng whitespace tạo visual groups. Section dividers rõ ràng.",DT-WA-002,"Related items spacing ratio: intra-group spacing < 50% of inter-group spacing",Spacing đồng đều giữa mọi elements khiến không phân biệt được groups,High,Navigation Intuitiveness,Navigation intuitive hơn 35%,lawsofux.com
UXL-008,Consistency (Nielsen),Usability Heuristics,"Design system thống nhất: cùng 1 action = cùng 1 style. Internal + external consistency.",Website/Web App,"Buttons cùng loại → cùng style/size/color. Icons từ 1 bộ duy nhất (Heroicons HOẶC Lucide). Spacing theo scale cố định (4px base).",DT-WA-003,"Same action type = same visual treatment across all pages AND single icon library used",Mix nhiều icon libraries hoặc inconsistent button styles,Critical,Learnability,Giảm learning curve 40-60%,nngroup.com
UXL-009,Serial Position Effect,Memory,"Users best remember the first and last items in a series.",Website/Web App,"Đặt info quan trọng nhất ở vị trí đầu và cuối của list/navigation. Primary actions ở đầu hoặc cuối toolbar.",DT-WA-004,"Key info/actions at position 1 AND last position in any list/nav",Info quan trọng bị chôn ở giữa list,Medium,Information Retention,Tăng retention 25%,lawsofux.com
UXL-010,Postel's Law,Robustness,"Be liberal in what you accept and conservative in what you send.",Website/Web App,"Forms accept varied input formats (phone: 0901234567 hoặc +84901234567). Auto-format. Inline validation thay vì block submit. Clear error messages.",DT-WA-005,"Form accepts >= 2 formats cho phone/date fields AND shows inline validation AND error messages specific (not generic)",Form reject valid input hoặc chỉ show generic error 'Invalid input',High,User Satisfaction,Tăng form satisfaction 30%,lawsofux.com
UXL-011,Fitts's Law,Motor/Interaction,"The time to acquire a target is a function of the distance to and size of the target.",Mobile App,"Tất cả interactive elements >= 44×44px touch target. Primary actions trong thumb zone (bottom 1/3 screen). Avoid top corners cho frequent actions.",DT-MOB-001,"All interactive elements >= 44×44px AND primary actions within bottom 40% of screen",Touch targets < 44px hoặc critical actions ở top corners,Critical,Mis-tap Rate,Giảm mis-taps 50%,lawsofux.com
UXL-012,Doherty Threshold,Performance,"Productivity soars when computer and users interact at pace <400ms.",Mobile App,"Loading feedback appear < 400ms. Skeleton screens cho content loading. Optimistic UI updates. Haptic feedback cho actions.",DT-MOB-002,"Loading indicator appears within 400ms of user action AND skeleton screens for content > 1s load time",Blank screen trong lúc loading hoặc no feedback > 400ms,Critical,Perceived Performance,Perceived speed tăng 60%,lawsofux.com
UXL-013,Law of Common Region,Gestalt,"Elements sharing an area with clearly defined boundary are perceived as groups.",Mobile App,"Group related screens bằng tabs/cards. Dùng container/card boundaries rõ ràng. Bottom tab bar cho main sections. Card-based layout cho related content.",DT-MOB-003,"Related content shares visual container (card/section) AND main navigation uses bottom tabs (<= 5)",Related content không có visual boundary phân biệt,High,Orientation,Dễ navigate hơn 40%,lawsofux.com
UXL-014,Aesthetic-Usability Effect,Perception,"Users often perceive aesthetically pleasing design as more usable.",Mobile App,"Visual polish: consistent border-radius / shadow depth / spacing. Smooth animations (ease-out). Cohesive color palette. High-quality imagery.",DT-MOB-004,"UI consistency score > 85% (border-radius / shadow / spacing nhất quán) AND animations ease-out curve",Inconsistent styling: mixed border-radius / random shadows / jarring animations,Medium,Error Tolerance,Tăng retention 25-35%,lawsofux.com
UXL-015,Peak-End Rule,Memory,"People judge experience based on how they felt at peak and end.",Mobile App,"Success screens sau key actions (checkout / signup / form submit). Celebration micro-animations. Positive messaging ở session end.",DT-MOB-005,"Key flows (signup / checkout / submit) kết thúc bằng success screen với positive messaging",Flow kết thúc abruptly không có confirmation hoặc success state,High,Re-engagement,Tăng re-engagement 20-30%,lawsofux.com
UXL-016,Law of Similarity,Gestalt,"Similar elements are perceived as part of the same group.",Game UI,"Controls và UI elements giữ consistent visual theme. Icons cùng style (filled/outlined/pixel). Color coding nhất quán cho item types.",DT-GAME-001,"Icon style uniform across all controls AND color coding consistent cho cùng item category",Mix icon styles (filled + outlined + emoji) trong cùng 1 context,High,Quick Recognition,Nhận diện nhanh hơn 45%,lawsofux.com
UXL-017,Aesthetic-Usability Effect,Perception,"Aesthetically pleasing design perceived as more usable.",Game UI,"Art style immersive và nhất quán. HUD minimal — không clutter. UI elements blend với game aesthetic. Polish animations.",DT-GAME-002,"HUD coverage <= 15% total screen area AND UI style matches game art direction",HUD chiếm > 20% screen hoặc UI style clash với game art,Medium,Engagement Duration,Tăng session duration 30%,lawsofux.com
UXL-018,Von Restorff Effect,Attention,"When multiple similar objects present — the different one is most remembered.",Game UI,"Highlight special items (power-ups / rare drops) bằng distinct color + size + glow animation. Important notifications khác biệt rõ.",DT-GAME-003,"Important items có >= 2 visual differentiators (color AND size hoặc animation)",Tất cả items trông giống nhau — không distinguish được important ones,High,Focus Attention,Focus attention tăng 50%,lawsofux.com
UXL-019,Hick's Law,Decision Making,"Decision time increases with number and complexity of choices.",Game UI,"In-game menus đơn giản: radial menus / quick-select wheels. Max 8 options per menu level. Shortcuts cho frequent actions.",DT-GAME-004,"In-game menu options <= 8 per level AND accessible trong <= 2 taps/clicks",Complex nested menus > 10 items phá game flow,Critical,Flow Maintenance,Không phá game flow,lawsofux.com
UXL-020,Law of Proximity,Gestalt,"Near objects grouped together.",Game UI,"HUD elements clustered ở screen edges. Health/mana top-left. Minimap top/bottom-right. Action bar bottom-center. Clear spacing giữa HUD groups.",DT-GAME-005,"HUD groups positioned ở screen periphery (edges/corners) AND spacing giữa groups >= 40px",HUD elements scattered random across screen,High,Minimal Disruption,Giảm visual disruption 40%,lawsofux.com
UXL-021,Cognitive Load,Cognitive,"The total mental resources needed to understand and interact with an interface.",Dashboard,"Data visualization dùng progressive disclosure. Summary first → drill-down on demand. Limit metrics visible simultaneously <= 7.",DT-DASH-001,"Default view shows <= 7 key metrics AND drill-down available on interaction",> 12 metrics hiển thị đồng thời không grouping,Critical,Task Completion Time,Giảm analysis time 35%,lawsofux.com
UXL-022,Law of Prägnanz,Gestalt,"People interpret complex images as simplest form possible.",Dashboard,"Charts/graphs dùng clean simple forms. Avoid 3D charts khi 2D đủ. Minimal decorative elements. Clear data labels.",DT-DASH-002,"Charts use 2D forms (no 3D unless spatial data) AND data labels present AND minimal chartjunk",3D pie charts / decorative gradients on data viz / missing labels,High,Data Comprehension,Tăng data comprehension 45%,lawsofux.com
UXL-023,Selective Attention,Cognitive,"Focusing attention only on stimuli related to current goals.",Dashboard,"Filtering / search prominent. Active filters visible. Highlight current context. Dim/fade irrelevant data khi filtering.",DT-DASH-003,"Filter/search visible without scrolling AND active filters displayed AND filtered-out data visually dimmed",No filtering capability hoặc active filters hidden,High,Data Discovery,Tăng discovery speed 30%,lawsofux.com
UXL-024,Zeigarnik Effect,Memory,"People remember uncompleted tasks better than completed ones.",Web App (SaaS),"Hiển thị incomplete tasks / progress. Onboarding checklist với completion %. Save draft states. Resume-where-left-off.",DT-SAAS-001,"Onboarding có progress indicator AND draft auto-save AND 'continue where you left off' feature",No progress tracking cho multi-step workflows,Medium,Task Completion,Tăng onboarding completion 40%,lawsofux.com
UXL-025,Tesler's Law,Complexity,"Every system has inherent complexity that cannot be removed — only moved.",Web App (SaaS),"Move complexity from user to system. Smart defaults. Auto-detect settings. Progressive disclosure cho advanced options.",DT-SAAS-002,"Advanced options hidden by default AND smart defaults pre-filled AND auto-detection where possible",Force users configure complex settings upfront before using core feature,High,Time to Value,Giảm time-to-value 50%,lawsofux.com
UXL-026,Occam's Razor,Simplicity,"Among equally valid options — choose the simplest.",Web App (SaaS),"Remove unnecessary UI elements. Each screen serves 1 primary purpose. Eliminate redundant actions. Simplify copy.",DT-SAAS-003,"Each screen has 1 clear primary action AND no redundant paths to same action",Screen có > 3 equal-weight CTAs hoặc duplicate functionality,Medium,Usability Score,Tăng SUS score 15-20 points,lawsofux.com
UXL-027,Paradox of the Active User,Behavior,"Users never read manuals — they start using software immediately.",Web App (SaaS),"Design for learn-by-doing. Inline hints / tooltips. Interactive onboarding tours. Undo instead of confirmation dialogs.",DT-SAAS-004,"First-time user can complete core task without reading docs AND undo available for destructive actions",Require mandatory tutorial before usage hoặc no undo for critical actions,High,Activation Rate,Tăng activation rate 30%,lawsofux.com
UXL-028,Parkinson's Law,Productivity,"Tasks inflate to fill available time.",Web App (SaaS),"Set reasonable defaults cho deadlines. Show time estimates. Break large tasks into sub-tasks với individual deadlines.",DT-SAAS-005,"Time estimates shown for complex tasks AND large tasks auto-suggest breakdown",Unbounded tasks without time guidance,Low,Productivity,Tăng task completion rate 20%,lawsofux.com
UXL-029,Working Memory,Cognitive,"Temporarily holds and manipulates information for tasks.",E-commerce,"Persistent cart indicator (item count). Recently viewed products. Comparison tối đa 3-4 items. Breadcrumb navigation.",DT-ECOM-001,"Cart indicator always visible AND recently viewed accessible AND comparison <= 4 items",Cart hidden / no breadcrumbs / comparison > 5 items overwhelming,High,Cart Abandonment,Giảm cart abandonment 20%,lawsofux.com
UXL-030,Choice Overload,Decision Making,"People overwhelmed when presented with large number of options.",E-commerce,"Faceted filtering. Sort options. 'Recommended for you' section. Limit products per page (12-24). Category hierarchy clear.",DT-ECOM-002,"Products per page <= 24 AND faceted filters available AND sort options >= 3 AND recommended section present",> 50 products per page without filtering hoặc overwhelming grid,Critical,Purchase Decision,Tăng conversion 25%,lawsofux.com
UXL-031,Mental Model,Cognitive,"Compressed model of what we think we know about how a system works.",E-commerce,"Checkout flow matches user expectations: Cart → Shipping → Payment → Confirmation. Standard e-commerce patterns. Familiar icons.",DT-ECOM-003,"Checkout follows standard sequential flow AND uses familiar icons (cart/lock/checkmark)",Non-standard checkout flow confusing users,High,Checkout Completion,Tăng checkout completion 30%,lawsofux.com
UXL-032,Flow,Engagement,"Mental state of full immersion and energized focus.",E-commerce,"Smooth transitions between pages. No interrupting popups during checkout. Lazy loading images. Instant search results.",DT-ECOM-004,"No modal popups during checkout AND page transitions < 300ms AND search shows results within 500ms",Popup ads during checkout hoặc jarring page reloads,Critical,Session Duration,Tăng session duration 25%,lawsofux.com
UXL-033,Law of Uniform Connectedness,Gestalt,"Visually connected elements perceived as more related.",E-commerce,"Product cards: image + title + price + rating visually connected trong 1 card boundary. Related products section clearly bounded.",DT-ECOM-005,"Product info (image/title/price/rating) within single visual container AND related products in distinct section",Product info scattered / price separated from product image,Medium,Product Understanding,Tăng product comprehension 35%,lawsofux.com
UXL-034,Hick's Law,Decision Making,"Decision time increases with choices.",Healthcare App,"Limit main menu items. Clear primary action per screen. Simplified appointment booking (3 steps max). Emergency contact always accessible.",DT-HEALTH-001,"Main navigation <= 5 items AND booking flow <= 3 steps AND emergency button always visible",Complex menus > 7 items hoặc booking flow > 5 steps,Critical,Task Completion,Giảm task time 40%,lawsofux.com
