No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Components,Use Standalone Components,Standalone components simplify module management and improve tree-shaking,@Component({ standalone: true }) for all new components,NgModule-based components for new code,@Component({ standalone: true imports: [CommonModule] }),@NgModule({ declarations: [MyComponent] }),High,https://angular.dev/guide/components/importing
2,Components,Use Signals for Reactivity,Signals provide fine-grained reactivity and better performance,signal() computed() effect() for reactive state,BehaviorSubject for local component state,"count = signal(0); doubled = computed(() => this.count() * 2);","count$ = new BehaviorSubject(0);",High,https://angular.dev/guide/signals
3,Components,Use input() and output() functions,Function-based inputs and outputs with better type safety,input() input.required() output() for component API,@Input() @Output() decorators,"name = input.required<string>(); clicked = output<void>();","@Input() name!: string; @Output() clicked = new EventEmitter();",Medium,https://angular.dev/guide/components/inputs
4,Components,Use OnPush Change Detection,OnPush reduces unnecessary change detection cycles,changeDetection: ChangeDetectionStrategy.OnPush,Default change detection for all components,"@Component({ changeDetection: ChangeDetectionStrategy.OnPush })","@Component({}) /* Default change detection */",High,https://angular.dev/guide/components/advanced-configuration
5,Components,Keep Templates Clean,Templates should be declarative with minimal logic,Move complex logic to computed signals or methods,Complex expressions in templates,"@if (isVisible()) { <div>Content</div> }","<div *ngIf='items.length > 0 && user.role === 'admin' && !loading'>",Medium,
6,State,Use Signal Store (NgRx),NgRx SignalStore for scalable state management,SignalStore for shared state across components,Manual service-based stores without patterns,"const Store = signalStore(withState({ count: 0 }) withComputed(...))","@Injectable() class Store { private state = new BehaviorSubject(...) }",Medium,https://ngrx.io/guide/signals/signal-store
7,State,Avoid Nested Subscriptions,Nested subscriptions cause memory leaks and complexity,Use RxJS operators to compose streams,subscribe inside subscribe,"this.http.get(url).pipe(switchMap(data => this.process(data)))","this.http.get(url).subscribe(data => { this.other.subscribe(...) })",High,
8,State,Unsubscribe from Observables,Prevent memory leaks by cleaning up subscriptions,takeUntilDestroyed() or AsyncPipe in templates,Manual subscription without unsubscribe,"data$ = this.service.data$.pipe(takeUntilDestroyed());","this.service.data$.subscribe(d => this.data = d); /* no unsubscribe */",High,https://angular.dev/guide/components/lifecycle
9,Routing,Use Lazy Loading,Lazy load routes to reduce initial bundle size,loadComponent or loadChildren for routes,Eagerly importing all route components,"{ path: 'admin' loadComponent: () => import('./admin') }","{ path: 'admin' component: AdminComponent } /* eager */",High,https://angular.dev/guide/routing/lazy-loading
10,Routing,Use Route Guards,Protect routes with functional guards,canActivate canDeactivate as functions,Component-level access checks,"canActivate: [() => inject(AuthService).isLoggedIn()]","/* Check in component ngOnInit */",Medium,https://angular.dev/guide/routing/route-guards
11,Routing,Use Router Input Binding,Bind route params directly to component inputs,Input binding for route params query params and data,ActivatedRoute snapshot params,"@Component(...) export class UserComponent { id = input<string>(); }","constructor(private route: ActivatedRoute) { this.id = route.snapshot.params['id'] }",Medium,https://angular.dev/guide/routing/router-reference
12,Forms,Use Reactive Forms,Reactive forms provide better testability and control,FormBuilder and FormGroup for complex forms,Template-driven forms for complex validation,"form = this.fb.group({ email: ['' [Validators.required Validators.email]] })","<input [(ngModel)]='email' required> /* for complex forms */",Medium,https://angular.dev/guide/forms/reactive-forms
13,Forms,Use Typed Forms,Strongly typed forms catch errors at compile time,FormControl<string> FormGroup<{...}>,Untyped form controls,"new FormControl<string>('hello')","new FormControl('hello') /* untyped */",Medium,https://angular.dev/guide/forms/typed-forms
14,Forms,Validate on Blur,Validate fields when user leaves them not on every keystroke,updateOn: 'blur' for individual fields,Real-time validation on every change,"new FormControl('' { updateOn: 'blur' })","new FormControl('' { updateOn: 'change' }) /* aggressive */",Low,
15,Performance,Use trackBy in @for,Track items by unique key for efficient list rendering,track item.id in @for loops,No tracking for dynamic lists,"@for (item of items; track item.id) { <div>{{item.name}}</div> }","@for (item of items; track $index) { ... } /* unstable */",High,https://angular.dev/guide/templates/control-flow
16,Performance,Use Defer Blocks,Defer loading of heavy components until needed,@defer with on triggers for below-fold content,Loading everything eagerly,"@defer (on viewport) { <HeavyChart /> } @loading { <Spinner /> }","<app-heavy-chart></app-heavy-chart> /* always loaded */",Medium,https://angular.dev/guide/defer
17,Performance,Avoid Zone Pollution,Keep async operations out of Zone.js when not needed,runOutsideAngular for non-UI async tasks,All async operations running in Zone,"this.ngZone.runOutsideAngular(() => { setInterval(...) })","setInterval(() => this.tick()) /* triggers CD */",Medium,
18,Performance,Use Image Directive,Angular image directive for optimized loading,NgOptimizedImage for all images,Regular <img> tags without optimization,"<img ngSrc='hero.jpg' width='800' height='600' priority>","<img src='hero.jpg'> /* no optimization */",High,https://angular.dev/guide/image-optimization
19,HTTP,Use HttpClient with Types,Type HTTP responses for safety,Generic type parameter on HTTP methods,Untyped HTTP responses,"this.http.get<User[]>('/api/users')","this.http.get('/api/users') /* any type */",Medium,https://angular.dev/guide/http
20,HTTP,Handle Errors with catchError,Graceful error handling for HTTP requests,catchError operator with fallback,No error handling on HTTP calls,"this.http.get(url).pipe(catchError(() => of(fallback)))","this.http.get(url) /* no error handling */",High,
21,HTTP,Use Interceptors,Centralize cross-cutting concerns for HTTP,Functional interceptors for auth logging retries,Repeating auth headers in every service,"export const authInterceptor: HttpInterceptorFn = (req next) => { ... }","/* Adding auth header in every service method */",Medium,https://angular.dev/guide/http/interceptors
22,Testing,Use Component Harnesses,Material component harnesses for reliable tests,ComponentHarness for Material component testing,Direct DOM queries for Material components,"const button = await loader.getHarness(MatButtonHarness)","fixture.nativeElement.querySelector('button') /* fragile */",Medium,https://material.angular.io/cdk/test-harnesses/overview
23,Testing,Use TestBed Properly,Configure TestBed with minimal providers,Override only what's needed for the test,Importing entire AppModule in tests,"TestBed.configureTestingModule({ imports: [ComponentUnderTest] })","TestBed.configureTestingModule({ imports: [AppModule] }) /* slow */",Medium,
24,Testing,Test with Signals,Test signal-based components properly,Read signal values and verify computed reactions,Direct property access on signal-based state,"expect(component.count()).toBe(0)","expect(component.count).toBe(0) /* wrong */",Medium,
25,Material,Use Angular Material 3,Material Design 3 components and theming,M3 theming with custom color schemes,Material 2 legacy components,"@use '@angular/material' as mat; $theme: mat.define-theme(...)","@use '~@angular/material/prebuilt-themes/indigo-pink.css'",Medium,https://material.angular.io/guide/theming
26,Material,Use CDK for Custom Components,CDK provides unstyled building blocks,CDK overlays portals and a11y utilities,Building custom dialogs/tooltips from scratch,"import { OverlayModule } from '@angular/cdk/overlay'","/* Custom overlay implementation */",Medium,https://material.angular.io/cdk/categories
27,SSR,Use Angular SSR,Server-side rendering for SEO and performance,@angular/ssr for server rendering,Client-only rendering for content sites,"ng add @angular/ssr","/* No SSR for public content pages */",Medium,https://angular.dev/guide/ssr
28,SSR,Use Hydration,Client-side hydration for SSR pages,provideClientHydration() in bootstrap,Full client re-render after SSR,"provideClientHydration()","/* No hydration = layout shift */",High,
29,Accessibility,Use ARIA Attributes,Proper ARIA for custom components,role aria-label aria-describedby on custom widgets,Custom interactive elements without ARIA,"<div role='button' aria-label='Close' tabindex='0'>","<div (click)='close()'> /* no a11y */",High,
30,Accessibility,Keyboard Navigation,All interactive elements keyboard accessible,tabindex and keydown handlers on custom elements,Mouse-only interaction on custom components,"(keydown.enter)='select()' tabindex='0'","(click)='select()' /* keyboard inaccessible */",High,
31,Architecture,Use Inject Function,Functional injection with inject(),inject() in components services and guards,Constructor injection for new code,"private http = inject(HttpClient)","constructor(private http: HttpClient) /* older pattern */",Low,https://angular.dev/guide/di
32,Architecture,Feature-Based Structure,Organize by feature not by type,feature/ folder with component service routes,Separate components/ services/ models/ folders,"features/user/ (component service routes)","components/user.component services/user.service",Medium,
33,Architecture,Use Barrel Exports,Public API via index.ts for features,Export public API from feature index.ts,Importing deep paths into feature internals,"import { UserComponent } from './features/user'","import { UserComponent } from './features/user/components/user.component'",Low,
