No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Security,Enable Context Isolation,Context isolation prevents renderer from accessing Node.js,contextIsolation: true in BrowserWindow webPreferences,contextIsolation: false in production,"webPreferences: { contextIsolation: true preload: path.join(__dirname 'preload.js') }","webPreferences: { contextIsolation: false nodeIntegration: true }",High,https://www.electronjs.org/docs/latest/tutorial/context-isolation
2,Security,Use Preload Scripts,Expose safe APIs via preload contextBridge,contextBridge.exposeInMainWorld for safe API exposure,Direct require() in renderer process,"contextBridge.exposeInMainWorld('api' { readFile: (path) => ipcRenderer.invoke('read-file' path) })","const fs = require('fs') /* in renderer */",High,https://www.electronjs.org/docs/latest/tutorial/process-model#preload-scripts
3,Security,Disable Node Integration,Renderer should not have direct Node.js access,nodeIntegration: false (default in modern Electron),Enabling nodeIntegration in renderer,"webPreferences: { nodeIntegration: false }","webPreferences: { nodeIntegration: true } /* security risk */",High,https://www.electronjs.org/docs/latest/tutorial/security
4,Security,Validate IPC Messages,Validate all data received via IPC in main process,Type-check and sanitize IPC handler arguments,Trusting renderer input without validation,"ipcMain.handle('read-file' (event path) => { if (!isAllowedPath(path)) throw new Error('forbidden') })","ipcMain.handle('read-file' (event path) => fs.readFileSync(path))",High,
5,Security,Use Sandbox Mode,Sandbox renderer processes for defense in depth,sandbox: true in webPreferences (default in v20+),Disabling sandbox without security review,"webPreferences: { sandbox: true }","webPreferences: { sandbox: false } /* unnecessary */",High,
6,IPC,Use ipcMain.handle/invoke,Request-response pattern with promises,handle/invoke for async communication,send/on for request-response patterns,"ipcMain.handle('get-data' async () => await fetchData()); ipcRenderer.invoke('get-data')","ipcMain.on('get-data' (e) => e.reply('data' result)) /* callback hell */",Medium,https://www.electronjs.org/docs/latest/tutorial/ipc
7,IPC,Minimize IPC Payloads,Send minimal data over IPC for performance,Send IDs or small payloads then fetch in main,Sending large objects or binary over IPC,"ipcRenderer.invoke('get-user' userId)","ipcRenderer.invoke('save-data' entireDatabase) /* huge payload */",Medium,
8,IPC,Type IPC Channels,Use TypeScript types for IPC channel contracts,Typed channel names and payload types,String literals without type safety,"type IpcChannels = 'get-user' | 'save-file' | 'app-quit'","ipcRenderer.invoke('gt-user') /* typo undetected */",Medium,
9,Window,Configure BrowserWindow Properly,Set appropriate window options for platform,Show window after ready-to-show event,Showing window immediately (white flash),"const win = new BrowserWindow({show: false}); win.once('ready-to-show' () => win.show())","const win = new BrowserWindow({}) /* white flash */",Medium,https://www.electronjs.org/docs/latest/api/browser-window
10,Window,Support Multiple Windows,Handle multi-window architecture cleanly,Track windows in a Map with lifecycle management,Global references to single window,"const windows = new Map(); function createWindow(id) { ... }","let mainWindow = null /* single window only */",Low,
11,Window,Handle Window State,Persist and restore window position and size,Save bounds on close restore on create,Hardcoded window dimensions,"const bounds = store.get('windowBounds'); win = new BrowserWindow(bounds)","new BrowserWindow({ width: 1200 height: 800 }) /* always same */",Low,
12,Menu,Use Application Menu,Native application menu for platform consistency,Menu.buildFromTemplate with platform-aware items,No application menu or web-only hamburger menu,"const template = [{ role: 'appMenu' } { role: 'fileMenu' } ...]","/* No native menu - custom HTML menu only */",Medium,https://www.electronjs.org/docs/latest/api/menu
13,Menu,Context Menu Support,Right-click context menus for desktop experience,electron-context-menu or Menu.popup for context menus,No right-click support in desktop app,"menu.popup({ window: BrowserWindow.getFocusedWindow() })","/* Disable right-click: event.preventDefault() */",Medium,
14,Tray,System Tray Integration,Add tray icon for background apps,Tray with context menu and notification badges,Running without tray icon for background apps,"const tray = new Tray(icon); tray.setContextMenu(contextMenu)","/* No tray icon for app that runs in background */",Medium,https://www.electronjs.org/docs/latest/api/tray
15,Storage,Use Electron Store,Persist user preferences and app state,electron-store or custom JSON file in userData,localStorage for persistent desktop data,"const Store = require('electron-store'); const store = new Store()","localStorage.setItem('prefs' JSON.stringify(data)) /* web pattern */",Medium,
16,Storage,Use app.getPath for Locations,Use proper OS directories for file storage,app.getPath('userData') app.getPath('documents'),Hardcoded paths or relative paths,"const savePath = path.join(app.getPath('userData') 'data.json')","const savePath = './data.json' /* wrong location */",High,https://www.electronjs.org/docs/latest/api/app#appgetpathname
17,Updates,Auto-Update Setup,Implement automatic updates for distribution,electron-updater with code signing,No update mechanism or manual downloads only,"autoUpdater.checkForUpdatesAndNotify()","/* Users download from website manually */",High,https://www.electron.build/auto-update.html
18,Updates,Update UX,Inform users about update progress,Show download progress and restart prompt,Silent update without user notification,"autoUpdater.on('download-progress' (info) => sendProgress(info))","autoUpdater.on('update-downloaded' () => autoUpdater.quitAndInstall()) /* forced */",Medium,
19,Performance,Lazy Load Windows,Create windows only when needed,Create secondary windows on demand,All windows created at startup,"function openSettings() { if (!settingsWindow) settingsWindow = new BrowserWindow(...) }","app.whenReady().then(() => { createMainWindow(); createSettingsWindow(); createAboutWindow(); })",Medium,
20,Performance,Use Web Workers,Offload heavy computation from renderer main thread,Web Workers for data processing parsing and computation,Heavy computation in renderer main thread,"const worker = new Worker('heavy-task.js')","/* Processing 10MB JSON in renderer main thread */",Medium,
21,Performance,Optimize Startup Time,Minimize time to first meaningful paint,Defer non-essential module loading + show splash screen,Loading all modules synchronously at startup,"const heavyModule = await import('./heavy-module')","const heavyModule = require('./heavy-module') /* blocks startup */",Medium,
22,Native,Use Dialog Module,Native OS dialogs for file operations,dialog.showOpenDialog dialog.showSaveDialog,Custom HTML dialogs for file operations,"const { filePaths } = await dialog.showOpenDialog({ properties: ['openFile'] })","<input type='file'> /* web fallback for desktop */",Medium,https://www.electronjs.org/docs/latest/api/dialog
23,Native,Use Notifications,OS-native notifications for user alerts,new Notification({ title body }) for system notifications,Custom toast UI for system-level alerts,"new Notification({ title: 'Update' body: 'New version available' })","/* Custom HTML toast for critical system notification */",Low,https://www.electronjs.org/docs/latest/api/notification
24,Native,Drag and Drop Support,Native file drag and drop,webContents.startDrag for dragging from app / ondrop for receiving,No drag and drop support in desktop app,"element.addEventListener('drop' (e) => { const files = e.dataTransfer.files })","/* No file drop zone in desktop app */",Low,
25,Build,Use Electron Forge or Builder,Production build and packaging toolchain,@electron-forge/cli or electron-builder for packaging,Manual packaging scripts,"npx electron-forge make","/* Custom shell script for packaging */",High,https://www.electronforge.io/
26,Build,Code Signing,Sign application for distribution,Code sign for both macOS and Windows,Distributing unsigned applications,"afterSign: 'scripts/notarize.js' /* macOS */ + certificateFile /* Windows */","/* Distribute without signing - security warnings */",High,
